Date,Load,Zone
6/1/2023 7:00,1009.0326,GENESE
6/1/2023 7:00,861.6964,HUD VL
6/1/2023 7:00,1906.0101,LONGIL
6/1/2023 7:00,716.2016,MHK VL
6/1/2023 7:00,257.2994,MILLWD
6/1/2023 7:00,5230.9413,N.Y.C.
6/1/2023 7:00,610.6505,NORTH
6/1/2023 7:00,1712.7244,WEST
6/1/2023 8:00,1261.1039,CAPITL
6/1/2023 8:00,1663.8628,CENTRL
6/1/2023 8:00,585.8934,DUNWOD
6/1/2023 8:00,1014.2895,GENESE
6/1/2023 8:00,846.4388,HUD VL
6/1/2023 8:00,1962.9078,LONGIL
6/1/2023 8:00,680.453,MHK VL
6/1/2023 8:00,267.8366,MILLWD
6/1/2023 8:00,5644.4695,N.Y.C.
6/1/2023 8:00,623.6572,NORTH
6/1/2023 8:00,1805.4544,WEST
6/1/2023 9:00,1250.2883,CAPITL
6/1/2023 9:00,1652.6509,CENTRL
6/1/2023 9:00,608.3833,DUNWOD
6/1/2023 9:00,1044.4202,GENESE
6/1/2023 9:00,812.499,HUD VL
6/1/2023 9:00,1991.7706,LONGIL
6/1/2023 9:00,665.7146,MHK VL
6/1/2023 9:00,274.9668,MILLWD
6/1/2023 9:00,5934.4093,N.Y.C.
6/1/2023 9:00,624.2499,NORTH
6/1/2023 9:00,1868.4396,WEST
6/1/2023 10:00,1271.3369,CAPITL
6/1/2023 10:00,1700.049,CENTRL
6/1/2023 10:00,626.4463,DUNWOD
6/1/2023 10:00,1092.1094,GENESE
6/1/2023 10:00,823.0915,HUD VL
6/1/2023 10:00,2043.937,LONGIL
6/1/2023 10:00,674.9346,MHK VL
6/1/2023 10:00,268.427,MILLWD
6/1/2023 10:00,6097.13,N.Y.C.
6/1/2023 10:00,630.419,NORTH
6/1/2023 10:00,1947.8534,WEST
6/1/2023 11:00,1323.523,CAPITL
6/1/2023 11:00,1770.2216,CENTRL
6/1/2023 11:00,648.1919,DUNWOD
6/1/2023 11:00,1143.5507,GENESE
6/1/2023 11:00,873.1774,HUD VL
6/1/2023 11:00,2137.09,LONGIL
6/1/2023 11:00,716.1195,MHK VL
6/1/2023 11:00,283.2748,MILLWD
6/1/2023 11:00,6240.6323,N.Y.C.
6/1/2023 11:00,635.7176,NORTH
6/1/2023 11:00,2015.2193,WEST
6/1/2023 12:00,1381.0906,CAPITL
6/1/2023 12:00,1841.1818,CENTRL
6/1/2023 12:00,670.5536,DUNWOD
6/1/2023 12:00,1181.5237,GENESE
6/1/2023 12:00,934.8891,HUD VL
6/1/2023 12:00,2234.2129,LONGIL
6/1/2023 12:00,738.5591,MHK VL
6/1/2023 12:00,303.8198,MILLWD
6/1/2023 12:00,6366.7154,N.Y.C.
6/1/2023 12:00,641.1274,NORTH
6/1/2023 12:00,2085.7555,WEST
6/1/2023 13:00,1450.4875,CAPITL
6/1/2023 13:00,1911.6113,CENTRL
6/1/2023 13:00,705.109,DUNWOD
6/1/2023 13:00,1228.6923,GENESE
6/1/2023 13:00,1030.2705,HUD VL
6/1/2023 13:00,2375.5132,LONGIL
6/1/2023 13:00,766.3296,MHK VL
6/1/2023 13:00,319.0576,MILLWD
6/1/2023 13:00,6510.8768,N.Y.C.
6/1/2023 13:00,648.3711,NORTH
6/1/2023 13:00,2168.6529,WEST
6/1/2023 14:00,1526.8862,CAPITL
6/1/2023 14:00,1959.7014,CENTRL
6/1/2023 14:00,739.2426,DUNWOD
6/1/2023 14:00,1263.3013,GENESE
6/1/2023 14:00,1118.3546,HUD VL
6/1/2023 14:00,2527.8017,LONGIL
6/1/2023 14:00,782.9903,MHK VL
6/1/2023 14:00,342.4636,MILLWD
6/1/2023 14:00,6639.9066,N.Y.C.
6/1/2023 14:00,630.7663,NORTH
6/1/2023 14:00,2224.2382,WEST
6/1/2023 15:00,1619.1218,CAPITL
6/1/2023 15:00,2010.8223,CENTRL
6/1/2023 15:00,781.9366,DUNWOD
6/1/2023 15:00,1309.6408,GENESE
6/1/2023 15:00,1228.9294,HUD VL
6/1/2023 15:00,2682.3896,LONGIL
6/1/2023 15:00,809.808,MHK VL
6/1/2023 15:00,371.0114,MILLWD
6/1/2023 15:00,6779.6749,N.Y.C.
6/1/2023 15:00,656.0715,NORTH
6/1/2023 15:00,2280.9266,WEST
6/1/2023 16:00,1723.0304,CAPITL
6/1/2023 16:00,2098.918,CENTRL
6/1/2023 16:00,816.1304,DUNWOD
6/1/2023 16:00,1347.0852,GENESE
6/1/2023 16:00,1371.9977,HUD VL
6/1/2023 16:00,2821.9908,LONGIL
6/1/2023 16:00,846.9839,MHK VL
6/1/2023 16:00,383.2255,MILLWD
6/1/2023 16:00,6853.5644,N.Y.C.
6/1/2023 16:00,654.9802,NORTH
6/1/2023 16:00,2329.7509,WEST
6/1/2023 17:00,1821.2235,CAPITL
6/1/2023 17:00,2179.258,CENTRL
6/1/2023 17:00,842.7066,DUNWOD
6/1/2023 17:00,1389.8474,GENESE
6/1/2023 17:00,1492.5844,HUD VL
6/1/2023 17:00,2968.629,LONGIL
6/1/2023 17:00,896.42,MHK VL
6/1/2023 17:00,404.2296,MILLWD
6/1/2023 17:00,6820.8403,N.Y.C.
6/1/2023 17:00,663.1879,NORTH
6/1/2023 17:00,2319.0707,WEST
6/1/2023 18:00,1890.9065,CAPITL
6/1/2023 18:00,2239.6641,CENTRL
6/1/2023 18:00,827.2728,DUNWOD
6/1/2023 18:00,1438.0786,GENESE
6/1/2023 18:00,1545.331,HUD VL
6/1/2023 18:00,3003.339,LONGIL
6/1/2023 18:00,940.6657,MHK VL
6/1/2023 18:00,404.6129,MILLWD
6/1/2023 18:00,6566.27,N.Y.C.
6/1/2023 18:00,668.4763,NORTH
6/1/2023 18:00,2316.5562,WEST
6/1/2023 19:00,1891.8361,CAPITL
6/1/2023 19:00,2255.5673,CENTRL
6/1/2023 19:00,800.997,DUNWOD
